exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
BMI	Other polyunsaturated fatty acids than 18:2	Fatty acids	Fatty acids	0.0622748963850627	-0.0224734646672378	0.147023257437363	0.149796782234397
BMI	Phosphatidylcholine and other cholines	Glycerides and phospholipids	Glycerides and phospholipids	-0.0206623098302507	-0.101765621605524	0.0604410019450231	0.617539884111988
BMI	Phenylalanine	Amino acids	Aromatic amino acids	0.277893326049931	0.217895179861773	0.337891472238089	1.10457059938518e-19
BMI	Pyruvate	Glycolysis related metabolites	Glycolysis related metabolites	0.0647932484551568	0.00321271753755152	0.126373779372762	0.0391834506591615
BMI	Total lipids in small HDL	Lipoprotein subclasses	Small HDL	0.059482338236826	-0.00682881240920509	0.125793488882857	0.0787208782763928
BMI	Concentration of small HDL particles	Lipoprotein subclasses	Small HDL	0.0528590178029972	-0.0136704220863279	0.119388457692322	0.119408627863058
BMI	Triglycerides in small HDL	Lipoprotein subclasses	Small HDL	0.195787764233414	0.128447535083824	0.263127993383004	1.20805917411291e-08
BMI	Total cholesterol in small LDL	Lipoprotein subclasses	Small LDL	0.129955452561441	0.0478798862999637	0.212031018822918	0.00191315801554319
BMI	Total lipids in small LDL	Lipoprotein subclasses	Small LDL	0.131464946065545	0.0456501215947721	0.217279770536318	0.00267646071012954
BMI	Concentration of small LDL particles	Lipoprotein subclasses	Small LDL	0.127629095804691	0.043338949061505	0.211919242547877	0.00299977277684712
BMI	Total cholesterol in small VLDL	Lipoprotein subclasses	Small VLDL	0.160834589135029	0.0878308044250195	0.233838373845038	1.57396174401288e-05
BMI	Free cholesterol in small VLDL	Lipoprotein subclasses	Small VLDL	0.167860106986605	0.0948039526496925	0.240916261323517	6.68544875179814e-06
BMI	Total lipids in small VLDL	Lipoprotein subclasses	Small VLDL	0.191247964235005	0.116500264365505	0.265995664104505	5.30840618594852e-07
BMI	Concentration of small VLDL particles	Lipoprotein subclasses	Small VLDL	0.197111915915198	0.122724295346351	0.271499536484045	2.0626891266931e-07
BMI	Phospholipids in small VLDL	Lipoprotein subclasses	Small VLDL	0.174997720200335	0.104091890256161	0.245903550144509	1.31588939454985e-06
BMI	Triglycerides in small VLDL	Lipoprotein subclasses	Small VLDL	0.195602886084166	0.124128444350219	0.267077327818113	8.14446440301884e-08
BMI	Serum total cholesterol	Cholesterol	Cholesterol	0.0557077527346599	-0.0219408440688846	0.133356349538204	0.15967339024909
BMI	Serum total triglycerides	Glycerides and phospholipids	Glycerides and phospholipids	0.196771020703623	0.125975679362619	0.267566362044627	5.10276770907659e-08
BMI	Sphingomyelins	Glycerides and phospholipids	Glycerides and phospholipids	0.123872551762619	0.045866854185144	0.201878249340094	0.0018553041696296
BMI	Total fatty acids	Fatty acids	Fatty acids	0.144289835064112	0.0618639590104661	0.226715711117758	0.000601228936792449
BMI	Total phosphoglycerides	Glycerides and phospholipids	Glycerides and phospholipids	0.00776306591334912	-0.0746420334441836	0.0901681652708818	0.853508252997311
BMI	Tyrosine	Amino acids	Aromatic amino acids	0.166121745867	0.105762593126381	0.226480898607619	6.87706141036043e-08
BMI	Urea	Amino acids	Amino acids	0.0284716171864386	-0.0372800011428296	0.0942232355157068	0.396040025033332
BMI	Valine	Amino acids	Branched-chain amino acids	0.141366079826768	0.0797200018850894	0.203012157768447	6.96846154158333e-06
BMI	Mean diameter for VLDL particles	Lipoprotein particle size	Lipoprotein particle size	0.159619271706067	0.0913589686097325	0.227879574802402	4.57812543425419e-06
BMI	Total cholesterol in very large HDL	Lipoprotein subclasses	Very large HDL	-0.145641011227505	-0.2131946789615	-0.0780873434935096	2.38279846353513e-05
BMI	Cholesterol esters in very large HDL	Lipoprotein subclasses	Very large HDL	-0.152861350721232	-0.221433943704468	-0.0842887577379963	1.24695242670786e-05
BMI	Free cholesterol in very large HDL	Lipoprotein subclasses	Very large HDL	-0.199781733434008	-0.267782772411866	-0.13178069445615	8.49518264495621e-09
BMI	Total lipids in very large HDL	Lipoprotein subclasses	Very large HDL	-0.199601830643795	-0.268724435232078	-0.130479226055512	1.51556270033958e-08
BMI	Concentration of very large HDL particles	Lipoprotein subclasses	Very large HDL	-0.200585933069063	-0.270159146655272	-0.131012719482854	1.59647892798488e-08
BMI	Phospholipids in very large HDL	Lipoprotein subclasses	Very large HDL	-0.240931478683906	-0.311152754242063	-0.170710203125749	1.75805171355029e-11
BMI	Triglycerides in very large HDL	Lipoprotein subclasses	Very large HDL	-0.0254938410720281	-0.0921862507788022	0.041198568634746	0.453718821816988
BMI	Total lipids in very large VLDL	Lipoprotein subclasses	Very large VLDL	0.174334829307766	0.105906069154149	0.242763589461383	5.93071238286296e-07
BMI	Concentration of very large VLDL particles	Lipoprotein subclasses	Very large VLDL	0.207948021501926	0.138140369615264	0.277755673388588	5.26450583919036e-09
BMI	Phospholipids in very large VLDL	Lipoprotein subclasses	Very large VLDL	0.17541449107016	0.108108020486951	0.242720961653369	3.25306486199226e-07
BMI	Triglycerides in very large VLDL	Lipoprotein subclasses	Very large VLDL	0.162280871861934	0.0969720889918518	0.227589654732016	1.11453605841059e-06
BMI	Total lipids in very small VLDL	Lipoprotein subclasses	Very Small VLDL	0.168632362279694	0.0949997557713488	0.242264968788039	7.16374384526902e-06
BMI	Concentration of very small VLDL particles	Lipoprotein subclasses	Very Small VLDL	0.179409913156315	0.105417871801569	0.253401954511061	2.00967110562526e-06
BMI	Phospholipids in very small VLDL	Lipoprotein subclasses	Very Small VLDL	0.137409580792879	0.0631782175319503	0.211640944053808	0.00028545556442817
BMI	Triglycerides in very small VLDL	Lipoprotein subclasses	Very Small VLDL	0.197046094664786	0.122956146776216	0.271136042553356	1.8608906582528e-07
BMI	Total lipids in chylomicrons and largest VLDL particles	Fatty acids	Fatty acids	0.171402442731487	0.101683703694524	0.24112118176845	1.44547534210258e-06
BMI	Concentration of chylomicrons and largest VLDL particles	Fatty acids	Fatty acids	0.147868823392732	0.0789045731815118	0.216833073603952	2.63972552613803e-05
BMI	Phospholipids in chylomicrons and largest VLDL particles	Fatty acids	Fatty acids	0.158632427038506	0.0927669214944475	0.224497932582565	2.35240355022081e-06
BMI	Triglycerides in chylomicrons and largest VLDL particles	Fatty acids	Fatty acids	0.176492153589658	0.108675394159459	0.244308913019857	3.38091854313754e-07
